p,ell,frobenius_error,relative_error,orthogonality_error
0,20,368.3765198497942,0.9472375565416142,1.175283961583477e-15
5,25,363.17245820172064,0.9338559147322418,1.4705210927684492e-15
10,30,357.9236393734549,0.920359185017646,1.6625716446623131e-15
20,40,347.5321855916995,0.8936387651245469,2.1278810600826134e-15
30,50,337.1569184658535,0.8669599673424293,2.440870554110343e-15
